Date,No of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Total Amount,Prev. Closing,Difference Rs.,% Change
2020-11-26,4130,1387,1275,1339,429237,581317178,1274,65,5.1
2020-11-25,2808,1274,1150,1274,297132,367384274,1159,115,9.92
2020-11-24,2088,1165,1120,1159,224480,258203579,1127,32,2.84
2020-11-23,2274,1152,1123,1127,258335,293033741,1138,-11,-0.97
2020-11-22,3823,1201,1108,1138,504782,580058318,1110,28,2.52
2020-11-19,3373,1118,1037,1110,377799,410845310,1037,73,7.04
2020-11-18,2789,1044,961,1037,337844,336259920,983,54,5.49
2020-11-12,2196,991,960,983,337190,329605240,964,19,1.97
2020-11-11,1383,977,951,964,156439,151071432,961,3,0.31
2020-11-10,2775,1000,951,961,292752,285332151,969,-8,-0.83
2020-11-09,5355,973,900,969,583920,550181485,894,75,8.39
2020-11-08,2686,905,858,894,291323,259202482,858,36,4.2
2020-11-05,851,865,856,858,81104,69705953,861,-3,-0.35
2020-11-04,663,863,858,861,38848,33451817,863,-2,-0.23
2020-11-03,736,869,857,863,47681,41209073,861,2,0.23
2020-11-02,855,868,850,861,68958,59474517,858,3,0.35
2020-11-01,646,869,858,858,38398,33045165,865,-7,-0.81
2020-10-29,677,881,861,865,51890,45237063,867,-2,-0.23
2020-10-28,596,869,850,867,52226,44678831,856,11,1.29
2020-10-22,437,865,853,856,38551,32971137,857,-1,-0.12
2020-10-21,429,863,852,857,29569,25405072,856,1,0.12
2020-10-20,403,896,850,856,25869,22074942,854,2,0.23
2020-10-19,528,858,848,854,33366,28453773,850,4,0.47
2020-10-18,863,854,848,850,57070,48531217,854,-4,-0.47
2020-10-15,924,869,850,854,86805,74084223,852,2,0.23
2020-10-14,863,858,851,852,62327,53181854,856,-4,-0.47
2020-10-13,952,865,855,856,73770,63289400,860,-4,-0.47
2020-10-12,1029,865,857,860,61915,53276432,861,-1,-0.12
2020-10-11,1057,877,856,861,66945,57928083,868,-7,-0.81
2020-10-08,936,887,865,868,72675,63332030,873,-5,-0.57
2020-10-07,959,920,870,873,78553,68569172,877,-4,-0.46
2020-10-06,1008,895,875,877,71469,62902371,887,-10,-1.13
2020-10-05,2077,908,885,887,166071,149100463,891,-4,-0.45
2020-10-04,2546,898,863,891,234510,208153684,863,28,3.24
2020-10-01,1439,870,850,863,97600,84173747,851,12,1.41
2020-09-30,1369,860,846,851,132294,112435136,853,-2,-0.23
2020-09-29,1229,856,851,853,91565,78161176,856,-3,-0.35
2020-09-28,1053,867,850,856,74520,64033445,860,-4,-0.47
2020-09-27,1166,875,860,860,104161,90001415,864,-4,-0.46
2020-09-24,1179,870,861,864,108550,93824698,869,-5,-0.58
2020-09-23,1297,870,819,869,101235,87323701,862,7,0.81
2020-09-22,1737,870,855,862,144853,124476823,862,0,0
2020-09-21,2297,900,845,862,172562,149036929,858,4,0.47
2020-09-20,1691,900,858,858,188349,162940197,876,-18,-2.05
2020-09-17,1738,897,873,876,170721,149806832,884,-8,-0.9
2020-09-16,1385,890,873,884,109028,96196246,881,3,0.34
2020-09-15,1702,908,874,881,148938,131382850,882,-1,-0.11
2020-09-14,2104,942,882,882,229562,204308668,898,-16,-1.78
2020-09-13,2430,925,895,898,269175,243165058,895,3,0.34
2020-09-10,1810,918,891,895,193377,174234526,891,4,0.45
2020-09-09,2505,899,857,891,253259,223122288,859,32,3.73
2020-09-08,3373,870,837,859,324098,275539967,856,3,0.35
2020-09-07,3646,880,854,856,329704,284037069,871,-15,-1.72
2020-09-06,4294,933,860,871,455128,401301084,889,-18,-2.02
2020-09-03,4786,920,856,889,466323,415707238,901,-12,-1.33
2020-09-02,5932,931,887,901,732871,674242254,847,54,6.38
2020-08-31,2941,847,775,847,346675,287457228,770,77,10
2020-08-27,2698,722,703,709,325117,231294329,712,-3,-0.42
2020-08-26,4232,726,671,712,492948,349254823,672,40,5.95
2020-08-25,3703,679,623,672,443243,287405898,624,48,7.69
2020-08-24,3310,624,596,624,351252,216040975,596,28,4.7
2020-08-23,1121,599,581,596,113089,66811330,583,13,2.23
2020-08-20,479,585,575,583,39562,23017814,579,4,0.69
2020-08-19,997,587,578,579,117221,68180359,590,-11,-1.86
2020-08-18,1497,595,585,590,108326,63932746,588,2,0.34
2020-08-17,1580,590,570,588,112845,65830289,575,13,2.26
2020-08-16,1733,584,571,575,133967,77110577,580,-5,-0.86
2020-08-13,1781,588,580,580,123499,71937188,588,-8,-1.36
2020-08-12,1690,616,584,588,102692,60381444,587,1,0.17
2020-08-11,2086,599,585,587,204932,121607806,591,-4,-0.68
2020-08-10,2510,597,566,591,210854,123153743,572,19,3.32
2020-08-09,2114,580,563,572,156684,89114877,575,-3,-0.52
2020-08-06,2377,585,565,575,206694,118115188,576,-1,-0.17
2020-08-03,2217,594,575,589,171630,100417639,586,3,0.51
2020-08-02,3559,610,584,586,382259,226517075,599,-13,-2.17
2020-07-30,4087,615,576,599,382720,229155063,584,15,2.57
2020-07-29,3234,588,557,584,272601,157100105,566,18,3.18
2020-07-28,2840,569,555,566,183834,103576159,562,4,0.71
2020-07-27,3974,575,553,562,264209,148861194,549,13,2.37
2020-07-26,6174,552,520,549,373050,199452916,545,4,0.73
2020-07-23,4240,547,520,545,212889,113239679,535,10,1.87
2020-07-22,4274,561,528,535,301663,162376267,557,-22,-3.95
2020-07-21,3090,567,550,557,223552,124291832,565,-8,-1.42
2020-07-20,2871,618,537,565,309752,176382799,570,-5,-0.88
2020-07-19,131,573,547,570,44436,25371293,521,49,9.4
2020-07-16,2955,529,503,521,182560,94172564,504,17,3.37
2020-07-14,3526,510,497,500,221004,111012243,508,-8,-1.57
2020-07-13,3218,517,501,508,202660,102812349,509,-1,-0.2
2020-07-12,4823,535,501,509,279522,143448460,504,5,0.99
2020-07-08,9527,532,480,508,501457,255799681,484,24,4.96
2020-07-07,3594,484,453,484,189080,91267083,440,44,10
2020-07-06,7466,440,400,440,337293,145331380,400,40,10
2020-07-05,9713,415,370,400,384082,151241987,383,17,4.44
2020-07-02,3809,415,368,383,152449,60682125,378,5,1.32
2020-07-01,1102,378,315,378,41011,14761825,344,34,9.88
2020-06-30,551,363,344,344,20380,7016590,382,-38,-9.95
2020-06-29,279,432,382,382,9779,3761368,424,-42,-9.91
